"YEAR","CASES","STATEFP","STNAME","POP","RATE"
2002,2,"13","Georgia",8508256,0.0235065799618629
2002,0,"15","Hawaii",1239613,0
2002,4,"16","Idaho",1340372,0.298424616449762
2002,47,"17","Illinois",12525556,0.375232843955191
2002,21,"18","Indiana",6155967,0.341132432971132
2002,42,"19","Iowa",2934234,1.43137868349968
2002,7,"20","Kansas",2713535,0.257966084830304
2002,25,"21","Kentucky",4089875,0.611265625477551
2002,5,"22","Louisiana",4497267,0.111178633601252
2002,219,"23","Maine",1295960,16.8986697120281
2002,738,"24","Maryland",5440389,13.5652064585823
2002,1807,"25","Massachusetts",6417206,28.1586721697885
2002,26,"26","Michigan",10015710,0.259592180684145
2002,867,"27","Minnesota",5018935,17.2745811611428
2002,12,"28","Mississippi",2858681,0.419774014659208
2002,41,"29","Missouri",5674825,0.722489239756292
2002,0,"30","Montana",911667,0
2002,6,"31","Nebraska",1728292,0.347163558009873
2002,2,"32","Nevada",2173791,0.0920051651699726
2002,261,"33","New Hampshire",1269089,20.5659335160891
2002,2349,"34","New Jersey",8552643,27.4651940926331
2002,1,"35","New Mexico",1855309,0.0538993774082916
2002,5535,"36","New York",19137800,28.9218196448913
2002,137,"37","North Carolina",8326201,1.64540827203187
2002,1,"38","North Dakota",638168,0.156698549598225
2002,82,"39","Ohio",11407889,0.718800822834093
2002,0,"40","Oklahoma",3489080,0
2002,12,"41","Oregon",3513424,0.341547163109263
2002,3989,"42","Pennsylvania",12331031,32.3492820673308
2002,852,"44","Rhode Island",1065995,79.9253279799624
2002,26,"45","South Carolina",4107795,0.632942977923679
2002,2,"46","South Dakota",760020,0.263150969711323
2002,28,"47","Tennessee",5795918,0.483098622168223
2002,139,"48","Texas",21690325,0.640838714957014
2002,5,"49","Utah",2324815,0.215070876607386
2002,37,"50","Vermont",615442,6.01193938665219
2002,259,"51","Virginia",7286873,3.55433668186614
2002,11,"53","Washington",6052349,0.181747615677814
2002,26,"54","West Virginia",1805414,1.44011290485174
2002,1090,"55","Wisconsin",5445162,20.0177699028973
2002,2,"56","Wyoming",500017,0.399986400462384
2003,8,"01","Alabama",4503491,0.177639968637664
2003,3,"02","Alaska",648414,0.462667369921069
2003,4,"04","Arizona",5510364,0.0725904858553809
2003,0,"05","Arkansas",2724816,0
2003,86,"06","California",35253159,0.243949769154021
2003,0,"08","Colorado",4528732,0
2003,1403,"09","Connecticut",3484336,40.2659215414357
2003,212,"10","Delaware",818003,25.9167753663495
2003,14,"11","District of Columbia",568502,2.46261226873432
2003,43,"12","Florida",17004085,0.252880410795406
2003,10,"13","Georgia",8622793,0.115971704295812
2003,0,"15","Hawaii",1251154,0
2003,3,"16","Idaho",1363380,0.220041367777142
2003,71,"17","Illinois",12556006,0.565466438929704
2003,25,"18","Indiana",6196638,0.403444577527362
2003,58,"19","Iowa",2941999,1.97144866466644
2003,4,"20","Kansas",2723004,0.146896589208095
2003,17,"21","Kentucky",4117170,0.412904980848495
2003,7,"22","Louisiana",4521042,0.15483156316619
2003,175,"23","Maine",1306513,13.3944323554377
2003,691,"24","Maryland",5496269,12.5721648631099
2003,1532,"25","Massachusetts",6422565,23.8533981361029
2003,12,"26","Michigan",10041152,0.119508199855953
2003,474,"27","Minnesota",5053572,9.37950423977337
2003,21,"28","Mississippi",2868312,0.732137926418047
2003,70,"29","Missouri",5709403,1.22604762704612
2003,0,"30","Montana",919630,0
2003,2,"31","Nebraska",1738643,0.115032240661251
2003,3,"32","Nevada",2248850,0.133401516330569
2003,190,"33","New Hampshire",1279840,14.8456057007126
2003,2887,"34","New Jersey",8601402,33.5642956810994
2003,1,"35","New Mexico",1877574,0.0532602177064659
2003,5399,"36","New York",19175939,28.1550749613878
2003,156,"37","North Carolina",8422501,1.85218143636908
2003,0,"38","North Dakota",638817,0
2003,66,"39","Ohio",11434788,0.57718603965373
2003,0,"40","Oklahoma",3504892,0
2003,16,"41","Oregon",3547376,0.451037612026467
2003,5730,"42","Pennsylvania",12374658,46.304309985779
2003,736,"44","Rhode Island",1071342,68.698884203177
2003,18,"45","South Carolina",4150297,0.433703901190686
2003,1,"46","South Dakota",763729,0.130936497108267
2003,20,"47","Tennessee",5847812,0.342008258815434
2003,85,"48","Texas",22030931,0.385821189308795
2003,2,"49","Utah",2360137,0.0847408434340888
2003,43,"50","Vermont",617858,6.95952791741792
2003,195,"51","Virginia",7366977,2.64694731638228
2003,7,"53","Washington",6104115,0.114676738560791
2003,31,"54","West Virginia",1812295,1.71053829536582
2003,740,"55","Wisconsin",5479203,13.5056138639141
2003,2,"56","Wyoming",503453,0.397256546291312
2004,6,"01","Alabama",4530729,0.132429019700803
2004,3,"02","Alaska",659286,0.455037722627206
2004,13,"04","Arizona",5652404,0.22999063761189
2004,0,"05","Arkansas",2749686,0
2004,48,"06","California",35574576,0.134927820362497
2004,0,"08","Colorado",4575013,0
2004,1348,"09","Connecticut",3496094,38.557315678583
2004,339,"10","Delaware",830803,40.8038969527072
2004,16,"11","District of Columbia",567754,2.81812193309074
2004,46,"12","Florida",17415318,0.264135285959177
2004,12,"13","Georgia",8769252,0.136841773962021
2004,0,"15","Hawaii",1273569,0
2004,6,"16","Idaho",1391802,0.431095802420172
2004,87,"17","Illinois",12589773,0.691037082241276
2004,32,"18","Indiana",6233007,0.513395861740569
2004,49,"19","Iowa",2953635,1.65897275729736
2004,3,"20","Kansas",2734373,0.109714365962508
2004,15,"21","Kentucky",4146101,0.361785687324067
2004,2,"22","Louisiana",4552238,0.0439344340080637
2004,225,"23","Maine",1313688,17.1273544403237
2004,891,"24","Maryland",5546935,16.062924840475
2004,1532,"25","Massachusetts",6412281,23.8916541555181
2004,27,"26","Michigan",10055315,0.268514710876785
2004,1023,"27","Minnesota",5087713,20.1072662707193
2004,0,"28","Mississippi",2889010,0
2004,25,"29","Missouri",5747741,0.434953488683641
2004,0,"30","Montana",930009,0
2004,2,"31","Nebraska",1749370,0.11432687195962
2004,1,"32","Nevada",2346222,0.0426217126938542
2004,226,"33","New Hampshire",1290121,17.5177367084173
2004,2698,"34","New Jersey",8634561,31.2465219714123
2004,1,"35","New Mexico",1903808,0.052526305173631
2004,5100,"36","New York",19171567,26.6018943574096
2004,122,"37","North Carolina",8553152,1.42637474465554
2004,0,"38","North Dakota",644705,0
2004,50,"39","Ohio",11452251,0.43659539072275
2004,3,"40","Oklahoma",3525233,0.0851007578789827
2004,11,"41","Oregon",3569463,0.30816960422338
2004,3985,"42","Pennsylvania",12410722,32.1093325593789
2004,249,"44","Rhode Island",1074579,23.1718654468401
2004,22,"45","South Carolina",4210921,0.52245102674688
2004,1,"46","South Dakota",770396,0.129803373849293
2004,20,"47","Tennessee",5910809,0.338363158071932
2004,98,"48","Texas",22394023,0.437616769438881
2004,1,"49","Utah",2401580,0.0416392541576795
2004,50,"50","Vermont",619920,8.06555684604465
2004,216,"51","Virginia",7475575,2.88940984472766
2004,14,"53","Washington",6178645,0.226586897288969
2004,38,"54","West Virginia",1816438,2.09200644337985
2004,1144,"55","Wisconsin",5514026,20.7470911453809
2004,4,"56","Wyoming",509106,0.785690995588345
2005,3,"01","Alabama",4569805,0.0656483154095197
2005,4,"02","Alaska",666946,0.599748705292482
2005,10,"04","Arizona",5839077,0.171259943994573
2005,0,"05","Arkansas",2781097,0
2005,95,"06","California",35827943,0.265156165956834
2005,0,"08","Colorado",4631888,0
2005,1810,"09","Connecticut",3506956,51.6117111249756
2005,646,"10","Delaware",845150,76.4361355972313
2005,10,"11","District of Columbia",567136,1.76324550019748
2005,47,"12","Florida",17842038,0.263422821989282
2005,6,"13","Georgia",8925922,0.0672199465780678
2005,0,"15","Hawaii",1292729,0
2005,2,"16","Idaho",1428241,0.140032389491689
2005,127,"17","Illinois",12609903,1.00714493997297
2005,33,"18","Indiana",6278616,0.525593538448601
2005,89,"19","Iowa",2964454,3.0022391981795
2005,3,"20","Kansas",2745299,0.109277714376467
2005,5,"21","Kentucky",4182742,0.119538809709038
2005,3,"22","Louisiana",4576628,0.065550444563115
2005,247,"23","Maine",1318787,18.7293323334246
2005,1235,"24","Maryland",5592379,22.0836248759249
2005,2336,"25","Massachusetts",6403290,36.4812463592934
2005,62,"26","Michigan",10051137,0.61684563646879
2005,917,"27","Minnesota",5119598,17.9115625875313
2005,0,"28","Mississippi",2905943,0
